UITVOERDER;TITEL;;;;;;;;;;;;Uitvoerder;Titel
10CC;Dreadlock Holiday;;;;;;;;;;;;10CC;*Dreadlock Holiday
10CC;I'm Not In Love;;;;;;;;;;;;10CC;*I'm Not In Love
2 Brothers on the 4th Floor;Dreams (Will Come Alive);;;;;;;;;;;;2 Brothers on the 4th Floor;*Dreams (Will Come Alive)
2 fabiola ft. Medusa;New Year's Day;;;;;;;;;;;;2 fabiola ft. Medusa;*New Year's Day
2 unlimited;No limit;;;;;;;;;;;;2 unlimited;*No limit
3 Doors Down;Kryptonite;;;;;;;;;;;;3 Doors Down;*Kryptonite
3 Doors Down;When I'm Gone;;;;;;;;;;;;3 Doors Down;*When I'm Gone
30 Seconds to mars;Kings and queens;;;;;;;;;;;;30 Seconds to mars;*Kings and queens
3OH!3 ft. Katy Perry;Starstrukk (+ duet);;;;;;;;;;;;3OH!3 ft. Katy Perry;*Starstrukk (+ duet)
4 Non Blondes;What's Up;;;;;;;;;;;;4 Non Blondes;*What's Up
5 Seconds Of Summer;Youngblood;;;;;;;;;;;;5 Seconds Of Summer;*Youngblood
50 Cent ft. JT & Timbaland;Ayo Technology;;;;;;;;;;;;50 Cent ft. JT & Timbaland;*Ayo Technology
A Flock of Seagulls;I Ran (So Far Away);;;;;;;;;;;;A Flock of Seagulls;*I Ran (So Far Away)
A Great Big World;Say Something;;;;;;;;;;;;A Great Big World;*Say Something
Aaliyah;Try again;;;;;;;;;;;;Aaliyah;*Try again
ABBA;Chiquitita;;;;;;;;;;;;ABBA;*Chiquitita
ABBA;Dancing Queen;;;;;;;;;;;;ABBA;*Dancing Queen
ABBA;Does Your Mother Know (lead / Back);;;;;;;;;;;;ABBA;*Does Your Mother Know (lead / Back)
ABBA;Fernando;;;;;;;;;;;;ABBA;*Fernando
ABBA;Gimme Gimme Gimme;;;;;;;;;;;;ABBA;*Gimme Gimme Gimme
ABBA;I Do, I Do, I Do, I Do;;;;;;;;;;;;ABBA;*I Do, I Do, I Do, I Do
ABBA;I Have A Dream;;;;;;;;;;;;ABBA;*I Have A Dream
